Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3102,0U1,,,2,2,,,3,,1,,4,2,,,,1,"Srikanth, Uma","Yamauchi, Stephanie A",,,,,ukrish,uma srikanth
BIOL,3102,0U3,1,2,2,2,1,5,4,,,,,4,,,,2,"Srikanth, Uma","Patel, Umar J",,,,,ukrish,uma srikanth
BIOL,3161,0U1,,4,6,7,2,6,4,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas
BIOL,3161,0U2,,1,2,5,1,,1,1,,,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas
BIOL,3162,0U2,,1,3,6,1,3,3,3,2,1,1,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas
BIOL,3301,0U1,30,41,20,10,13,25,9,9,4,9,3,,1,,,4,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Akter, Zakia","Salamat, Narges","Salaudeen, Ibrahim O","Bach, Thao Nguyen",ixb053000,irina borovkov
BIOL,3302,0U1,1,2,4,4,1,5,7,,1,,4,6,,,,3,"Srikanth, Uma","Patel, Umar J","Ballew, Luke","Yamauchi, Stephanie A",,,ukrish,uma srikanth
BIOL,3318,0U1,4,24,25,14,6,6,1,2,3,1,1,,1,,,0,"Henson, Uyen N",,,,,,unh130030,uyen henson
BIOL,3361,0U1,,5,8,12,2,5,5,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley","Falah, Rafah M","Yaqub, Muneer O",,,candas,mehmet candas
BIOL,3362,0U1,,1,3,5,1,3,2,2,2,1,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley","Petter, Andrew T","Soladogun, Adedamola S",,,candas,mehmet candas
BIOL,3380,3U1,1,3,1,3,3,4,1,2,1,,,,,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Zhi, Jiahe","Zhabilov, Dannie",,,rippel,scott rippel
BIOL,3380,3U2,,,,,1,,4,1,2,,,2,,,,0,"Pickett, Elizabeth A","Rippel, Scott A","Zhi, Jiahe","Zhabilov, Dannie",,,eaw016100,elizabeth pickett
BIOL,3380,3U3,1,,1,2,1,2,3,1,2,2,2,1,2,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Mazambani, Simbarashe","Berisha, Eranda",,,rippel,scott rippel
BIOL,3380,3U4,,,3,1,1,1,4,2,3,1,1,1,1,,,2,"Pickett, Elizabeth A","Rippel, Scott A","Mazambani, Simbarashe","Berisha, Eranda",,,eaw016100,elizabeth pickett
BIOL,3455,3U1,1,1,1,2,1,1,2,2,2,2,,3,4,,,1,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,,rdr092000,ruben ramirez
BIOL,3455,3U2,,2,1,2,3,4,1,3,3,1,4,4,2,,,2,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,,rdr092000,ruben ramirez
BIOL,3456,3U1,1,5,1,1,2,5,3,3,1,2,1,1,,,,2,"Yu, Wen H","Cornelius, Samuel A",,,,,why061000,wen ho yu
